itemBarcode,itemId,itemName,itemNumber,status,lastUpdated,customerId,adminNotes
,8bdbe149,Oksigen 6m3,11309,Nomor Baru,12/5/2025 11:11:47,9e66ced9,
2026000372,8bdbe149,Oksigen 6m3,1131,,2/13/2026 9:54:28,AKGREADY,
696408100,8bdbe149,Oksigen 6m3,11310,Nomor Baru,2/4/2026 10:29:41,3b04351a,
2026000417,8bdbe149,Oksigen 6m3,11311,Nomor Baru,2/5/2026 9:16:40,e86baf3b,
2026000404,8bdbe149,Oksigen 6m3,11312,Nomor Baru,2/7/2026 14:22:07,e86baf3b,
2026000477,7d2764f1,Oksigen 7m3,11314,,1/27/2026 9:49:05,f7243d00,
2026000430,8bdbe149,Oksigen 6m3,11315,,2/2/2026 10:23:00,AKGREADY,
2026000366,8bdbe149,Oksigen 6m3,11316,,2/16/2026 13:28:06,9e66ced9,
2026000443,7d2764f1,Oksigen 7m3,11317,,4/7/2026 8:46:28,AKGREADY,
696411195,7d2764f1,Oksigen 7m3,11318,,1/27/2026 9:12:21,f7243d00,
11223,8bdbe149,Oksigen 6m3,11319,,12/19/2025 10:34:59,AKGREADY,
672401217,8bdbe149,Oksigen 6m3,1132,,8/30/2025 9:43:22,eec2e801,
1425363,8bdbe149,Oksigen 6m3,11320,,12/19/2025 10:35:21,1c4d5e93,
112563,8bdbe149,Oksigen 6m3,11321,,12/19/2025 10:35:42,1c4d5e93,
1125366,8bdbe149,Oksigen 6m3,11322,,12/19/2025 10:36:03,AKGREADY,
2026000442,8bdbe149,Oksigen 6m3,11323,,1/30/2026 9:47:13,734c6d17,
2026000447,8bdbe149,Oksigen 6m3,11324,,1/30/2026 9:41:44,AKGREADY,
1425136,8bdbe149,Oksigen 6m3,11325,,12/19/2025 10:37:19,dcc017cb,
2026000485,8bdbe149,Oksigen 6m3,11326,,1/27/2026 9:36:43,dcdf8b31,
2026000429,7d2764f1,Oksigen 7m3,11327,,3/17/2026 8:48:24,63fc688a,
111111111,8bdbe149,Oksigen 6m3,11328,,12/19/2025 13:22:13,f8a982a4,
696411186,7d2764f1,Oksigen 7m3,11329,,1/27/2026 9:12:11,ca4876e2,
682368364,8bdbe149,Oksigen 6m3,1133,,11/4/2025 8:29:42,3b04351a,
2026000370,7d2764f1,Oksigen 7m3,11330,,2/13/2026 9:57:44,4ec68cf6,
2026000438,7d2764f1,Oksigen 7m3,11331,,1/30/2026 16:18:35,ca4876e2,
683327151,8bdbe149,Oksigen 6m3,1134,,9/11/2025 8:33:45,9e66ced9,
672401147,8bdbe149,Oksigen 6m3,1135,,2/9/2026 8:26:20,ec231cc9,
683274822,8bdbe149,Oksigen 6m3,1136,,9/6/2025 9:11:51,b2b5f2c5,
682364076,8bdbe149,Oksigen 6m3,1137,,11/27/2025 11:17:53,2d88931c,
2026000441,8bdbe149,Oksigen 6m3,1138,,1/30/2026 12:59:43,9e66ced9,
672401323,8bdbe149,Oksigen 6m3,1139,,9/19/2025 8:38:29,e86baf3b,
682364182,8bdbe149,Oksigen 6m3,1140,,11/22/2025 13:43:32,eec2e801,
672401262,8bdbe149,Oksigen 6m3,1141,,,2d88931c,
672401235,8bdbe149,Oksigen 6m3,1142,,8/30/2025 9:46:39,e86baf3b,
672403233,8bdbe149,Oksigen 6m3,1143,,9/19/2025 8:35:50,b2b5f2c5,
672401129,8bdbe149,Oksigen 6m3,1144,,9/12/2025 9:10:37,58b72e0c,
2026000371,8bdbe149,Oksigen 6m3,1146,,2/13/2026 9:54:45,eec2e801,
2026000399,8bdbe149,Oksigen 6m3,1147,,2/9/2026 15:49:02,58b72e0c,
672401101,8bdbe149,Oksigen 6m3,1148,,9/9/2025 10:12:05,58ae16eb,
672403242,8bdbe149,Oksigen 6m3,1149,,8/14/2025 9:42:16,a9fe1bea,
672401305,8bdbe149,Oksigen 6m3,1150,,8/30/2025 9:44:22,ba97d58d,
673544564,8bdbe149,Oksigen 6m3,1151,,9/11/2025 8:14:38,3bcd7fe6,
683268867,8bdbe149,Oksigen 6m3,1152,,9/19/2025 8:35:28,182fb0fe,
673541178,8bdbe149,Oksigen 6m3,1153,,8/13/2025 11:56:27,057b6b99,
673540717,8bdbe149,Oksigen 6m3,1154,,8/7/2025 14:44:03,58b72e0c,
673544306,8bdbe149,Oksigen 6m3,1155,,9/11/2025 8:15:05,4ec68cf6,
,8bdbe149,Oksigen 6m3,1156,,11/6/2025 14:13:32,a9fe1bea,
682457181,8bdbe149,Oksigen 6m3,1157,,3/13/2026 13:55:49,AKGREADY,
2026000416,8bdbe149,Oksigen 6m3,1158,,2/5/2026 9:36:27,63fc688a,
673544713,7d2764f1,Oksigen 7m3,1161,,8/20/2025 11:26:06,1a1efff9,
112233,8bdbe149,Oksigen 6m3,1162,,12/10/2025 11:19:43,a9fe1bea,
672406373,8bdbe149,Oksigen 6m3,1164,,8/14/2025 9:38:17,AKGREADY,
673544810,7d2764f1,Oksigen 7m3,1165,,11/5/2025 11:58:03,17a8e612,
683329177,8bdbe149,Oksigen 6m3,1166,,11/1/2025 8:53:14,a9fe1bea,
673540674,8bdbe149,Oksigen 6m3,1168,,1/13/2026 16:48:17,9828dfc5,
673540708,8bdbe149,Oksigen 6m3,1169,,9/9/2025 10:09:43,ba97d58d,
673540346,8bdbe149,Oksigen 6m3,1170,,11/11/2025 14:25:17,AKGREADY,
672406364,8bdbe149,Oksigen 6m3,1171,,8/30/2025 9:45:06,AKGREADY,
2026000400,8bdbe149,Oksigen 6m3,1173,,2/7/2026 14:23:19,8ea74d81,
2026000446,8bdbe149,Oksigen 6m3,1176,,1/30/2026 9:42:36,3b04351a,
2026000373,8bdbe149,Oksigen 6m3,1181,,2/13/2026 9:54:15,80c9fe6d,
673546702,8bdbe149,Oksigen 6m3,1182,,8/6/2025 11:45:36,a0f0ad2d,
2026000401,8bdbe149,Oksigen 6m3,1183,,2/7/2026 14:24:04,3bcd7fe6,
683330678,8bdbe149,Oksigen 6m3,1184,,9/13/2025 13:37:28,ba97d58d,
683321908,8bdbe149,Oksigen 6m3,1185,,11/27/2025 11:15:13,9828dfc5,
673540382,8bdbe149,Oksigen 6m3,1186,,9/23/2025 8:35:51,e86baf3b,
683276079,8bdbe149,Oksigen 6m3,1187,,11/5/2025 16:56:16,8ea74d81,
